record_id,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
169833,MRT,Africa,Mauritania,2022-11-09,63403,3,4.143,997,0,0,13387.045,0.633,0.875,210.509,0,0,0.36,,,,,,,,,,,,,,,,,,,,,,,6613,,,,,1396,1438,0.03,8.33,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,,,15.95,,64.92,0.546,4.736146e+06,,,,
159826,MDG,Africa,Madagascar,2022-02-23,63433,0,84.143,1350,0,2.143,2142.159,0,2.842,45.59,0,0.072,0.66,,,,,,,,,,,,,872,0.03,0.0965,10.4,tests performed,,,,,,3300,,,,,111,2368,0.008,44.91,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,2.9611718e+07,,,,
291023,USA,North America,United States,2023-02-23,1.017524e+08,0,36338.855,1.106783e+06,0,408.143,300784.66,0,107.419,3271.7,0,1.206,,2919,8.629,22429,66.301,,,24922,73.671,,,,,,,,,,6.726948e+08,2.6946954e+08,2.3018997e+08,,70607,60125,202.61,81.16,69.33,,181,11472,0.003,,35.608,38.3,15.413,9.732,54225.445,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,3.3828986e+08,,,,
261570,LKA,Asia,Sri Lanka,2022-06-09,663917,16,10.286,16518,0,0,30410.06,0.733,0.471,756.591,0,0,1,,,,,,,,,7.685564e+06,1372,352.979,0.063,1371,0.063,0.0075,133.3,tests performed,,,,,,1466,,,,,67,108,0,30.56,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,,3.6,76.98,0.782,2.183215e+07,,,,
264234,SUR,South America,Suriname,2023-01-26,82020,0,0,1398,0,0,132708.56,0,0,2261.968,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,618046,,,,
193684,NER,Africa,Niger,2021-06-24,5472,3,2.429,193,0,0.143,208.791,0.114,0.093,7.364,0,0.005,1.08,,,,,,,,,,,,,,,,,,255587,224803,30784,,,6938,0.98,0.86,0.12,,265,5199,0.02,27.78,16.955,15.1,2.553,1.378,926,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,2.6207982e+07,,,,
112531,GIN,Africa,Guinea,2021-07-04,23871,64,25.571,173,1,0.714,1722.375,4.618,1.845,12.483,0.072,0.052,1.23,,,,,,,,,,,,,,,,,,707349,469202,238147,,128912,23807,5.1,3.39,1.72,,1718,12137,0.088,61.99,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,1.3859349e+07,,,,
189715,NCL,Oceania,New Caledonia,2020-08-18,23,0,0,,0,0,79.322,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,289959,,,,
304394,OWID_WRL,,World,2023-04-20,7.64154e+08,74552,106026.29,6.914925e+06,305,626.857,95817.42,9.348,13.295,867.064,0.038,0.079,,,,,,,,,,,,,,,,,,,1.3366707e+10,5.5767987e+09,5.1282816e+09,2.7614833e+09,291191,443307,167.61,69.93,64.3,34.63,56,306178,0.004,,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,7.975105e+09,,,,
146658,LVA,Europe,Latvia,2021-08-16,140171,49,101.286,2563,2,0.571,75741.336,26.477,54.73,1384.916,1.081,0.309,1.29,,,,,,,,,3.201959e+06,4357,1708.697,2.325,8008,4.273,0.0126,79.1,tests performed,1.397687e+06,780767,721871,37,4801,5063,75.52,42.19,39.01,0,2736,2980,0.161,41.67,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,1.850654e+06,,,,
69981,DNK,Europe,Denmark,2021-07-11,301114,520,527,2539,1,0.286,51190.2,88.401,89.591,431.637,0.17,0.049,1.35,9,1.53,29,4.93,,,65,11.05,3.6414108e+07,76385,6220.126,13.048,93382,15.951,0.006,167.4,tests performed,,,,,,73878,,,,,12559,37217,0.633,43.64,136.52,42.3,19.677,12.325,46682.516,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,5.882259e+06,-1588.9001,-1.85,-2.72,-271.40988
149672,LSO,Africa,Lesotho,2023-03-19,34490,0,0,706,0,0,14957.764,0,0,306.181,0,0,,,,,,,,,,,,,,,,,,,1.339097e+06,1.014073e+06,938088,177816,,728,58.07,43.98,40.68,7.71,316,195,0.008,,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,2.305826e+06,,,,
24402,BLR,Europe,Belarus,2020-01-31,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11,74.79,0.823,9.534956e+06,-782.1,-6.8,-6.8,-81.18338
127155,IRQ,Asia,Iraq,2021-08-05,1.673084e+06,12713,11793.714,18938,73,64.857,37600.668,285.71,265.05,425.61,1.641,1.458,1,,,,,,,,,1.3330624e+07,50706,306.215,1.165,51033,1.172,0.2272,4.4,tests performed,,,,,,29698,,,,,667,48450,0.109,75.93,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,4.4496124e+07,,,,
63367,CUB,North America,Cuba,2020-02-07,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,1.1212198e+07,,,,
305018,YEM,Asia,Yemen,2021-08-29,7751,40,37.714,1450,3,4.857,230.023,1.187,1.119,43.031,0.089,0.144,1.22,,,,,,,,,,,,,,,,,,,,,,,244,,,,,7,210,0.001,37.96,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47,3.3696612e+07,,,,
10183,ATG,North America,Antigua and Barbuda,2021-03-24,1072,39,12.714,28,0,0.143,11431.984,415.902,135.587,298.597,0,1.523,0.85,,,,,,,,,,,,,26,0.279,0.4835,2.1,tests performed,,,,,,197,,,,,2101,197,0.21,,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,93772,,,,
273032,TLS,Asia,Timor,2020-07-15,24,0,0,,0,0,17.893,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.63,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606,1.341298e+06,,,,
220307,PRT,Europe,Portugal,2022-08-15,5.368587e+06,1606,2554.286,24783,7,8.429,522700.97,156.365,248.693,2412.944,0.682,0.821,0.95,,,,,,,,,,,,,,,,,,,,,,,1919,,,,,187,120,0.001,13.89,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,,3.39,82.05,0.864,1.0270857e+07,,,,
130833,ISR,Asia,Israel,2021-09-01,1.077758e+06,10447,8962.286,7134,31,27.857,114060.54,1105.62,948.49,755.001,3.281,2.948,1.14,206,21.801,1423,150.598,116,12.276,1438,152.185,2.243103e+07,143133,2414.275,15.406,128878,13.871,0.072,13.9,people tested,1.3959962e+07,6.03273e+06,5.530584e+06,2.396648e+06,127575,101599,147.74,63.85,58.53,25.36,10752,8844,0.094,52.21,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,9.449e+06,,,,
282619,TCA,North America,Turks and Caicos Islands,2020-02-17,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.312,,,,,,,,,,,,80.22,,45726,,,,
307817,ZWE,Africa,Zimbabwe,2022-08-29,256704,5,10.857,5593,0,0.143,15728.892,0.306,0.665,342.697,0,0.009,1.1,,,,,,,,,,,,,,,,,,,,,,,5378,,,,,330,1443,0.009,52.63,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,1.6320539e+07,,,,
104414,GRC,Europe,Greece,2022-08-16,4.656256e+06,0,10747,32077,0,43.857,448364.8,0,1034.861,3088.79,0,4.223,1.11,,,,,,,,,,,,,,,,,,2.1298728e+07,7.924494e+06,7.634361e+06,6.316826e+06,3514,2064,205.09,76.31,73.51,60.83,199,51,0,11.11,83.479,45.3,20.396,14.524,24574.383,1.5,175.695,4.55,35.3,52,,4.21,82.24,0.888,1.0384972e+07,,,,
175437,MDA,Europe,Moldova,2021-07-14,257588,59,69,6762,3,2,78701.055,18.026,21.082,2065.999,0.917,0.611,1.13,,,,,,,,,,5423,,1.771,4520,1.476,0.0155,64.4,tests performed,824789,495794,328995,,11067,8695,25.2,15.15,10.05,,2657,3447,0.105,56.48,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,3.272993e+06,,,,
88810,FRO,Europe,Faeroe Islands,2023-04-01,34658,0,0,28,0,0,652484.1,0,0,527.138,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.308,,,,,,,,,,,,80.67,,53117,,,,
279239,TUN,Africa,Tunisia,2020-11-14,77668,1562,1387,2209,58,60.286,6285.794,126.415,112.252,178.778,4.694,4.879,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.52,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,1.2356116e+07,,,,
259992,ESP,Europe,Spain,2021-06-13,3.762212e+06,4005,3532.571,82523,11,22.286,79106.82,84.212,74.278,1735.184,0.231,0.469,1.04,918,19.302,2497,52.504,287,6.035,2249,47.289,4.5708904e+07,47423,962.557,0.999,94550,1.991,0.043,23.3,tests performed,3.3242768e+07,2.1474788e+07,1.2813055e+07,,,462137,69.9,45.15,26.94,,9717,241173,0.507,50.46,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,4.7558632e+07,77610.81,12.34,4.29,1634.3615
119286,HND,North America,Honduras,2023-04-29,472533,0,6.857,11112,0,0.143,45292.766,0,0.657,1065.096,0,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,,84.169,0.7,75.27,0.634,1.0432858e+07,,,,
90612,FJI,Oceania,Fiji,2021-07-08,8661,721,544.571,48,6,3.429,9315.217,775.461,585.706,51.626,6.453,3.688,1.46,,,,,,,,,236685,4556,255.984,4.927,3801,4.111,,,tests performed,,,,,,7471,,,,,8035,5823,0.626,86.11,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,929769,,,,
211387,PAN,North America,Panama,2021-07-14,416232,752,1072,6646,14,9,94414.03,170.576,243.162,1507.514,3.176,2.041,1.01,,,,,,,,,3.165648e+06,15604,727.523,3.586,11998,2.757,0.0878,11.4,tests performed,,,,,,18925,,,,,4293,8412,0.191,70.37,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,4.408582e+06,,,,
121723,ISL,Europe,Iceland,2020-01-25,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,3.404,37.3,14.431,9.207,46482.957,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,372903,,,,
6694,AND,Europe,Andorra,2021-09-02,15046,13,4.571,130,0,0,188444.83,162.82,57.255,1628.195,0,0,0.95,,,,,,,,,,,,,160,2.024,0.0321,31.1,tests performed,,,,,,255,,,,,3194,86,0.108,51.85,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868,79843,,,,
